,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,,,,,,,,,,,,
43,Hussein Ali,DF,iq Iraq,24,1.pl Pogoń Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Mohanad Ali,FW,iq Iraq,25,1.ae Dibba Al Fujairah,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Taha Ali,"FW,MF",se Sweden,27,1.se Malmö,1998,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29,1.uz Pakhtakor Tashkent FK,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Ali Alipour,FW,ir IR Iran,30,1.ir Persepolis,1995,1,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Alisson,GK,br Brazil,33,1.eng Liverpool,1992,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Thiago Almada,MF,ar Argentina,25,1.es Atlético Madrid,2001,5,3,241,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
50,Miguel Almirón,"MF,FW",py Paraguay,32,1.us Atlanta Utd,1994,4,4,282,3.1,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
51,Júnior Alonso,DF,py Paraguay,33,1.br Atlético Mineiro,1993,5,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
52,Barış Alper Yılmaz,"MF,FW",tr Türkiye,26,1.tr Galatasaray,2000,3,2,179,2,1,1,2,1,0,0,0,0,0.5,0.5,1.01,0.5,1.01,Matches
53,Roberto Alvarado,"FW,MF",mx Mexico,27,1.mx Guadalajara,1998,5,5,428,4.8,0,3,3,0,0,0,0,0,0,0.63,0.63,0,0.63,Matches
54,Edson Álvarez,"MF,DF",mx Mexico,28,1.eng West Ham,1997,4,2,240,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
55,Julián Álvarez,FW,ar Argentina,26,1.es Atlético Madrid,2000,8,5,602,6.7,1,0,1,1,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
56,Ayoube Amaimouni,MF,ma Morocco,21,1.de Frankfurt,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Zeki Amdouni,"FW,MF",ch Switzerland,25,1.eng Burnley,2000,4,0,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Michael Amir Murillo,"DF,MF",pa Panama,30,1.tr Beşiktaş,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Nadiem Amiri,MF,de Germany,29,1.de Mainz 05,1996,2,0,42,0.5,0,1,1,0,0,0,0,0,0,2.14,2.14,0,2.14,Matches
60,Amir Al Ammari,MF,iq Iraq,28,1.pl Cracovia,1997,3,3,247,2.7,0,1,1,0,0,0,2,0,0,0.36,0.36,0,0.36,Matches
61,Azizbek Amonov,FW,uz Uzbekistan,28,1.uz FK Bukhara Nurafshon,1997,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Mohamed Amoura,"FW,MF",dz Algeria,26,1.de Wolfsburg,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Sofyan Amrabat,MF,ma Morocco,29,1.es Real Betis,1996,3,1,147,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29,,1997,3,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0,0.38,0.38,0.38,Matches
65,Youssef Amyn,MF,iq Iraq,22,1.cy AEK Larnaca,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Elliot Anderson,MF,eng England,23,1.eng Nottingham,2002,8,7,632,7,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
67,Andrés Andrade Cedeño,DF,pa Panama,27,1.at LASK,1998,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
68,Fredrik André Bjørkan,DF,no Norway,27,1.no Bodø/Glimt,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Nilson Angulo,MF,ec Ecuador,22,1.eng Sunderland,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
70,Waldemar Anton,"DF,MF",de Germany,29,1.de Dortmund,1996,2,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Jeremy Antonisse,"FW,MF",cw Curaçao,24,1.gr AE Kifisia,2002,2,0,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Houssem Aouar,MF,dz Algeria,27,1.sa Al-Ittihad,1998,3,2,173,1.9,0,2,2,0,0,0,0,0,0,1.04,1.04,0,1.04,Matches
73,Oswin Appollis,"MF,FW",za South Africa,24,1.za Orlando Pirates,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Yazan Al-Arab,DF,jo Jordan,30,1.kr FC Seoul,1996,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
75,Maxi Araújo,"FW,MF",uy Uruguay,26,1.pt Sporting CP,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36,1.08,0.72,1.08,Matches
76,Tomás Araújo,DF,pt Portugal,24,1.pt Benfica,2002,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
77,Telmo Arcanjo,MF,cv Cabo Verde,24,1.pt Vit. Guimarães,2001,2,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Álex Arce,FW,py Paraguay,30,1.ar Ind. Rivadavia,1995,2,0,53,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
79,Carlens Arcus,"MF,DF",ht Haiti,29,1.fr Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
80,Max Arfsten,MF,us USA,25,1.us Columbus Crew,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Jhon Arias,MF,co Colombia,28,1.br Palmeiras,1997,5,5,377,4.2,1,0,1,1,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
82,Santiago Arias,DF,co Colombia,34,1.ar Independiente,1992,1,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
83,Marko Arnautović,FW,at Austria,37,1.rs Red Star,1989,4,1,144,1.6,2,0,2,1,1,1,1,0,1.25,0,1.25,0.62,0.62,Matches
84,Benjamin Asare,GK,gh Ghana,33,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Emam Ashour,MF,eg Egypt,28,1.eg Al Ahly,1998,5,5,362,4,2,0,2,2,0,0,0,0,0.5,0,0.5,0.5,0.5,Matches
86,Rustam Ashurmatov,DF,uz Uzbekistan,29,1.ir Esteghlal,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Lawrence Ati-Zigi,GK,gh Ghana,29,1.ch St. Gallen,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88,Marwan Attia,MF,eg Egypt,27,1.eg Al Ahly,1998,5,4,434,4.8,0,1,1,0,0,0,2,0,0,0.21,0.21,0,0.21,Matches
89,Fredrik Aursnes,"MF,DF",no Norway,30,1.pt Benfica,1995,6,3,304,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Gabriel Ávalos,FW,py Paraguay,35,1.ar Independiente,1990,4,2,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Yasin Ayari,MF,se Sweden,22,1.eng Brighton,2003,4,4,339,3.8,2,0,2,2,0,0,1,0,0.53,0,0.53,0.53,0.53,Matches
92,Oğuz Aydın,DF,tr Türkiye,25,1.tr Fenerbahçe,2000,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Jordan Ayew,FW,gh Ghana,34,2.eng Leicester City,1991,4,4,300,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Kaan Ayhan,"DF,MF",tr Türkiye,31,1.tr Galatasaray,1994,1,0,3,0,1,0,1,1,0,0,0,0,30,0,30,30,30,Matches
95,Neil El Aynaoui,MF,ma Morocco,24,1.it Roma,2001,6,6,562,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Ali Azaizeh,MF,jo Jordan,22,1.sa Al-Shabab,2004,3,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Juninho Bacuna,MF,cw Curaçao,28,1.nl Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
98,Leandro Bacuna,MF,cw Curaçao,34,2.tr 76 Iğdır Belediyespor,1991,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
99,Álex Baena,"MF,FW",es Spain,24,1.es Atlético Madrid,2001,7,7,481,5.3,1,1,2,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,Matches
100,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,1.nl PSV,2005,4,2,230,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Cédric Bakambu,FW,cd Congo DR,35,1.es Real Betis,1991,3,3,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Fabián Balbuena,DF,py Paraguay,34,1.br Grêmio,1991,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
103,Folarin Balogun,FW,us USA,24,1.fr Monaco,2001,4,4,312,3.5,3,0,3,3,0,0,1,1,0.87,0,0.87,0.87,0.87,Matches
104,Simon Banza,"FW,MF",cd Congo DR,29,1.ae Al Jazira Club,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
105,Yoel Bárcenas,MF,pa Panama,32,1.mx Mazatlán,1993,3,3,249,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
106,Valentín Barco,"DF,MF",ar Argentina,21,1.fr Strasbourg,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
107,Bradley Barcola,MF,fr France,23,1.fr PSG,2002,8,4,384,4.3,3,1,4,3,0,0,1,0,0.7,0.23,0.94,0.7,0.94,Matches
108,Abdülkerim Bardakcı,DF,tr Türkiye,31,1.tr Galatasaray,1994,3,3,265,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
109,Ivan Bašić,MF,ba Bosnia–Herz,24,1.kz FC Astana,2002,3,2,179,2,0,1,1,0,0,0,0,0,0,0.5,0.5,0,0.5,Matches
110,Ahmed Basil,GK,iq Iraq,29,1.iq Al-Shorta,1996,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
111,Martin Baturina,"MF,FW",hr Croatia,23,1.it Como,2003,4,4,321,3.6,1,0,1,1,0,0,0,0,0.28,0,0.28,0.28,0.28,Matches
112,Ibrahim Bayesh,"MF,FW",iq Iraq,26,1.ae Al Dhafra SCC,2000,3,3,235,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
113,Samed Baždar,FW,ba Bosnia–Herz,22,1.de Gladbach,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
114,Riechedly Bazoer,DF,cw Curaçao,29,1.tr Konyaspor,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Patrick Beach,GK,au Australia,22,1.au Melb City,2003,4,4,388,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Aziz Behich,MF,au Australia,35,1.au Melb City,1990,3,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Maximilian Beier,"FW,MF",de Germany,23,1.de Dortmund,2002,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
118,Alireza Beiranvand,GK,ir IR Iran,33,1.ir Tractor,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
119,Zineddine Belaïd,DF,dz Algeria,27,1.dz JS Kabylie,1999,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
120,Rafik Belghali,DF,dz Algeria,24,1.it Hellas Verona,2002,4,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
121,Joe Bell,MF,nz New Zealand,27,1.no Viking,1999,3,3,243,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Jean-Ricner Bellegarde,MF,ht Haiti,27,1.eng Wolves,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
123,Jude Bellingham,MF,eng England,22,1.es Real Madrid,2003,8,7,614,6.8,7,1,8,7,0,0,1,0,1.03,0.15,1.17,1.03,1.17,Matches
124,Mortadha Ben Ouanes,"DF,MF",tn Tunisia,31,1.tr Kasımpaşa,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Anis Ben Slimane,"MF,FW",tn Tunisia,25,2.eng Norwich City,2001,3,3,240,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
126,Oussama Benbot,GK,dz Algeria,31,1.dz USM Alger,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Nadhir Benbouali,FW,dz Algeria,26,1.hu Győr,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2,0,2,2,2,Matches
128,Gilson Benchimol,FW,cv Cabo Verde,24,1.ru Akron Tolyatti,2001,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Ramy Bensebaini,DF,dz Algeria,31,1.de Dortmund,1995,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Nabil Bentaleb,MF,dz Algeria,31,1.fr Lille,1994,4,3,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Rodrigo Bentancur,MF,uy Uruguay,28,1.eng Tottenham,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
132,Patrick Berg,MF,no Norway,28,1.no Bodø/Glimt,1997,6,4,445,4.9,0,2,2,0,0,0,1,0,0,0.4,0.4,0,0.4,Matches
133,Sander Berge,MF,no Norway,28,1.eng Fulham,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
134,Lucas Bergvall,MF,se Sweden,20,1.eng Tottenham,2006,4,1,181,2,0,1,1,0,0,0,1,0,0,0.5,0.5,0,0.5,Matches
135,Sebastian Berhalter,MF,us USA,25,1.us Vancouver,2001,5,1,187,2.1,1,1,2,1,0,0,1,0,0.48,0.48,0.96,0.48,0.96,Matches
136,Alexander Bernhardsson,MF,se Sweden,27,2.de Holstein Kiel,1998,3,3,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Tyler Bindon,DF,nz New Zealand,21,2.eng Sheffield United,2005,3,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
138,César Blackman,"MF,DF",pa Panama,28,1.sk Slovan Bratislava,1998,2,2,178,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
139,Damián Bobadilla,MF,py Paraguay,24,1.br São Paulo,2001,4,2,189,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Oscar Bobb,FW,no Norway,22,1.eng Fulham,2003,6,1,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Moïse Bombito,DF,ca Canada,26,1.fr Nice,2000,3,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Theo Bongonda,"FW,MF",cd Congo DR,30,1.ru Spartak Moscow,1995,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,1.it Inter,2003,4,3,234,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
144,Jordy Bos,"MF,DF",au Australia,23,1.nl Feyenoord,2002,4,4,308,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
145,Ayyoub Bouaddi,MF,ma Morocco,18,1.fr Lille,2007,5,5,381,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Hicham Boudaoui,MF,dz Algeria,26,1.fr Nice,1999,3,2,128,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
147,Karim Boudiaf,MF,qa Qatar,35,1.qa Al Duhail SC,1990,2,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Adil Boulbina,FW,dz Algeria,23,1.qa Al Duhail SC,2003,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Yassine Bounou,GK,ma Morocco,35,1.sa Al-Hilal,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Nawaf Boushal,DF,sa Saudi Arabia,26,1.sa Al-Nassr,1999,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
151,Michael Boxall,DF,nz New Zealand,37,1.us Minnesota Utd,1988,3,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
152,Sultan Al-Brake,DF,qa Qatar,30,1.qa Al Duhail SC,1996,2,1,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Joshua Brenet,DF,cw Curaçao,32,1.tr Kayserispor,1994,2,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
154,Brian Brobbey,FW,nl Netherlands,24,1.eng Sunderland,2002,4,3,223,2.5,3,0,3,3,0,0,0,0,1.21,0,1.21,1.21,1.21,Matches
155,Dylan Bronn,DF,tn Tunisia,30,1.ch Servette FC,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Nathaniel Brown,DF,de Germany,22,1.de Frankfurt,2003,3,3,282,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches
157,Tajon Buchanan,MF,ca Canada,27,1.es Villarreal,1999,5,5,376,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
158,Ante Budimir,FW,hr Croatia,34,1.es Osasuna,1991,3,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0,0.58,0.58,0.58,Matches
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26,1.sa Al-Ahli,2000,3,3,238,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
160,Cameron Burgess,DF,au Australia,30,2.eng Swansea City,1995,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
161,Dan Burn,DF,eng England,34,1.eng Newcastle,1992,3,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
162,Dženis Burnić,MF,ba Bosnia–Herz,28,2.de Karlsruher,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
163,Gustavo Caballero,"FW,MF",py Paraguay,24,2.eng Portsmouth,2001,2,0,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
164,Jovane Cabral,FW,cv Cabo Verde,28,1.pt Estrela,1998,2,2,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Liberato Cacace,DF,nz New Zealand,25,2.eng Wrexham,2000,3,3,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Juan Cáceres,DF,py Paraguay,26,1.ru Dynamo Moskva,2000,5,5,436,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
167,Sebastián Cáceres,DF,uy Uruguay,26,1.mx América,1999,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
168,Jordy Caicedo,FW,ec Ecuador,28,1.ar Huracán,1997,3,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
169,Moisés Caicedo,MF,ec Ecuador,24,1.eng Chelsea,2001,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
170,Uğurcan Çakır,GK,tr Türkiye,30,1.tr Galatasaray,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Hakan Çalhanoğlu,MF,tr Türkiye,32,1.it Inter,1994,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Lamine Camara,MF,sn Senegal,22,1.fr Monaco,2004,4,3,248,2.8,0,1,1,0,0,0,1,0,0,0.36,0.36,0,0.36,Matches
